detector,corpus,profile_norm,observed_fpr_0.05,observed_fpr_0.01,slope__punctuation_normalization,slope__sentence_splitting,slope__paragraph_resegmentation
openai_roberta_base__gpt2_legacy,gutenberg,0.05077155663128356,0.031840796019900496,0.0004975124378109452,0.017257168129777036,-0.03734401871220673,-0.029755089939816945
openai_roberta_base__gpt2_legacy,stack_exchange,0.07161896652503053,0.0436291522062469,0.005453644025780862,-0.007074791526936436,-0.04109604859236225,0.05822661316836169
openai_roberta_base__gpt2_legacy,asap_aes,0.04264702745840407,0.024,0.003,-0.00019452367912787267,-0.042579632044920775,0.002388733240712506
openai_roberta_base__gpt2_legacy,pmc,0.03633864964967418,0.04636091724825524,0.006480558325024925,0.006041640777516067,-0.03437034287477592,0.010132895230266673
openai_roberta_base__gpt2_legacy,cnn_dailymail,0.028838506151648124,0.0115,0.001,0.021649985890518256,-0.008937936557369755,0.016824114778954652
openai_roberta_base__gpt2_legacy,govreport,0.09140723977114752,0.055,0.0115,-0.023451542859253237,-0.06556870625645397,0.059211936127401846
openai_roberta_base__gpt2_legacy,wikitext_103,0.0216889593791355,0.0025,0.0,-0.0011803327202164532,0.004638892154084989,0.021154159241202307
radar_roberta_large__vicuna7b_training,blog_authorship,0.14456075810966953,0.289,0.099,-0.008659493504910661,0.08051177460936676,0.11975257870597744
radar_roberta_large__vicuna7b_training,gutenberg,0.13157122739260052,0.01691542288557214,0.0009950248756218905,0.004754145111234823,0.0729881806191284,0.10936686642565108
radar_roberta_large__vicuna7b_training,stack_exchange,0.11791441109341294,0.4417451660882499,0.22310361923648983,0.0011743272487767641,0.0670809608886745,0.09696687055521223
radar_roberta_large__vicuna7b_training,asap_aes,0.11849802473546904,0.364,0.1175,-0.022806610142014266,0.04971678136481035,0.10511841917933151
radar_roberta_large__vicuna7b_training,pmc,0.2737113865279363,0.07577268195413758,0.014456630109670987,-0.0028117504634874607,0.224109634980034,0.1571142535974771
radar_roberta_large__vicuna7b_training,cnn_dailymail,0.2079125588477046,0.091,0.027,-0.020460870282622595,0.15931758479260838,0.1320109544307894
radar_roberta_large__vicuna7b_training,govreport,0.22944330051943337,0.1455,0.0305,-0.006784810203646772,0.12994466577530717,0.1889777191636496
radar_roberta_large__vicuna7b_training,wikitext_103,0.07677425918106195,0.4425,0.0405,-0.005491841850053499,0.02036847444053922,0.07381904764259681
