operating_point,detector,probe,intensity,n,corpora,directional_corpus_sign_flip_p,holm_adjusted_directional_p,holm_reject_0.05,any_flip_rate__estimate,any_flip_rate__lower90,any_flip_rate__upper90,human_to_ai_flip_rate__estimate,human_to_ai_flip_rate__lower90,human_to_ai_flip_rate__upper90,ai_to_human_flip_rate__estimate,ai_to_human_flip_rate__lower90,ai_to_human_flip_rate__upper90,mean_score_shift__estimate,mean_score_shift__lower90,mean_score_shift__upper90
0.01,mage_longformer__paper,adjacent_repetition_removal,high,15,4,1.0,1.0,False,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0001685693982532636,-0.00010851093698306613,0.0005522597059934505
0.01,openai_roberta_base__gpt2_legacy,contraction_expansion,low,214,6,1.0,1.0,False,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.004997754690920603,0.0004988855819595025,0.011689124641698865
0.01,openai_roberta_base__gpt2_legacy,contraction_expansion,high,214,6,1.0,1.0,False,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.010194085908509143,-0.0006680332211068739,0.022115626098759972
0.01,openai_roberta_base__gpt2_legacy,punctuation_normalization,low,356,8,1.0,1.0,False,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0005002201128008074,-0.00458170012129031,0.005188215452595613
0.01,openai_roberta_base__gpt2_legacy,punctuation_normalization,high,356,8,1.0,1.0,False,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,-0.003832266778200198,-0.009362232974899088,0.000584014523503356
0.01,openai_roberta_base__gpt2_legacy,sentence_splitting,low,358,8,1.0,1.0,False,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,-0.010997421180173514,-0.02420777781161944,-0.00010661107836130548
0.01,openai_roberta_base__gpt2_legacy,sentence_splitting,high,358,8,1.0,1.0,False,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,-0.014451954509886034,-0.028872195304428316,-0.002839778347217698
0.01,openai_roberta_base__gpt2_legacy,discourse_markers,low,132,6,1.0,1.0,False,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,-0.007655218527140802,-0.017360415031199602,-0.0006006117159595331
0.01,openai_roberta_base__gpt2_legacy,discourse_markers,high,132,6,1.0,1.0,False,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,-0.01823112168075926,-0.03613127416861987,-0.003378087920541594
0.01,openai_roberta_base__gpt2_legacy,paragraph_resegmentation,low,400,8,1.0,1.0,False,0.0025,0.0,0.01,0.0025,0.0,0.01,0,0.0,0.0,0.012533108413845185,0.003077621418904528,0.024433381274717246
0.01,openai_roberta_base__gpt2_legacy,paragraph_resegmentation,high,400,8,1.0,1.0,False,0.0025,0.0,0.01,0.0025,0.0,0.01,0,0.0,0.0,0.026285840220334648,0.01113496718359602,0.042715028096237805
0.01,openai_roberta_base__gpt2_legacy,adjacent_repetition_removal,low,15,4,1.0,1.0,False,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0002974751880780483,-1.6944694964747343e-05,0.0007003785474066674
